child,parent
BANF1,R-HSA-164843
HMGA1,R-HSA-164843
LIG4,R-HSA-164843
PSIP1,R-HSA-164843
XRCC4,R-HSA-164843
XRCC5,R-HSA-164843
XRCC6,R-HSA-164843
gag,R-HSA-164843
gag-pol,R-HSA-164843
rev,R-HSA-164843
vif,R-HSA-164843
vpr,R-HSA-164843
vpu,R-HSA-164843
MCCC1,R-HSA-9909438
MCCC2,R-HSA-9909438
HIBCH,R-HSA-9916722
AUH,R-HSA-9914274
PRPS1,R-HSA-73843
PRPS1L1,R-HSA-73843
PRPS2,R-HSA-73843
ABCA1,R-HSA-5619084
ABCA12,R-HSA-5619084
ABCA3,R-HSA-5619084
ABCB11,R-HSA-5619084
ABCB4,R-HSA-5619084
ABCB6,R-HSA-5619084
ABCC2,R-HSA-5619084
ABCC6,R-HSA-5619084
ABCC8,R-HSA-5619084
ABCC9,R-HSA-5619084
ABCD1,R-HSA-5619084
ABCD4,R-HSA-5619084
ABCG5,R-HSA-5619084
ABCG8,R-HSA-5619084
ADRM1,R-HSA-5619084
APOA1,R-HSA-5619084
CFTR,R-HSA-5619084
DERL1,R-HSA-5619084
DERL2,R-HSA-5619084
DERL3,R-HSA-5619084
ERLEC1,R-HSA-5619084
ERLIN1,R-HSA-5619084
ERLIN2,R-HSA-5619084
KCNJ11,R-HSA-5619084
LMBRD1,R-HSA-5619084
OS9,R-HSA-5619084
PSMA1,R-HSA-5619084
PSMA2,R-HSA-5619084
PSMA3,R-HSA-5619084
PSMA4,R-HSA-5619084
PSMA5,R-HSA-5619084
PSMA6,R-HSA-5619084
PSMA7,R-HSA-5619084
PSMB1,R-HSA-5619084
PSMB2,R-HSA-5619084
PSMB3,R-HSA-5619084
PSMB4,R-HSA-5619084
PSMB5,R-HSA-5619084
PSMB6,R-HSA-5619084
PSMB7,R-HSA-5619084
PSMC1,R-HSA-5619084
PSMC2,R-HSA-5619084
PSMC3,R-HSA-5619084
PSMC4,R-HSA-5619084
PSMC5,R-HSA-5619084
PSMC6,R-HSA-5619084
PSMD1,R-HSA-5619084
PSMD11,R-HSA-5619084
PSMD12,R-HSA-5619084
PSMD13,R-HSA-5619084
PSMD14,R-HSA-5619084
PSMD2,R-HSA-5619084
PSMD3,R-HSA-5619084
PSMD6,R-HSA-5619084
PSMD7,R-HSA-5619084
PSMD8,R-HSA-5619084
RNF185,R-HSA-5619084
RNF5,R-HSA-5619084
RPS27A,R-HSA-5619084
SEL1L,R-HSA-5619084
SEM1,R-HSA-5619084
UBA52,R-HSA-5619084
UBB,R-HSA-5619084
UBC,R-HSA-5619084
VCP,R-HSA-5619084
ABCA10,R-HSA-1369062
ABCA12,R-HSA-1369062
ABCA2,R-HSA-1369062
ABCA3,R-HSA-1369062
ABCA5,R-HSA-1369062
ABCA6,R-HSA-1369062
ABCA7,R-HSA-1369062
ABCA9,R-HSA-1369062
ABCD1,R-HSA-1369062
ABCD2,R-HSA-1369062
ABCD3,R-HSA-1369062
ABCG1,R-HSA-1369062
ABCG4,R-HSA-1369062
ABCG5,R-HSA-1369062
ABCG8,R-HSA-1369062
APOA1,R-HSA-1369062
PEX19,R-HSA-1369062
PEX3,R-HSA-1369062
ABCA10,R-HSA-382556
ABCA12,R-HSA-382556
ABCA2,R-HSA-382556
ABCA3,R-HSA-382556
ABCA4,R-HSA-382556
ABCA5,R-HSA-382556
ABCA6,R-HSA-382556
ABCA7,R-HSA-382556
ABCA8,R-HSA-382556
