Gene,SVM_Mean_Abs_SHAP,SVM_Rank
ABCC3,0.11614853135302826,1
KLF4,0.10590160307435426,2
PIP5K1B,0.10583336705653107,3
IKZF1,0.10026595927438245,4
EDNRA,0.09708354992256027,5
PDGFC,0.09644210258059328,6
SERPINE1,0.09531287004037149,7
ST8SIA6,0.09205064049028981,8
ARHGAP18,0.09028131213160266,9
SNTG2,0.0885649892200073,10
FLI1,0.08762246059846172,11
ANO2,0.08615175618767584,12
FLT1,0.08585803914686287,13
PRAG1,0.08344564499344377,14
SLC39A8,0.08277168378022062,15
TNFAIP3,0.08238173129689293,16
ROR2,0.07845584795398153,17
NPSR1,0.07813144051891868,18
NOS1,0.077542555640169,19
FAM20A,0.07719332888695186,20
SCN9A,0.07609550631690896,21
ACSM3,0.07555545568664755,22
ADAMTS6,0.07549600086342718,23
NR2F2,0.07549341042839638,24
CLEC2B,0.07509579802222108,25
NPY,0.07341604620773273,26
PAH,0.07288530961225165,27
GPC3,0.07276253562630552,28
KLHL13,0.07260767743665233,29
TFEC,0.072591058078066,30
PTGER3,0.07249145472723974,31
GFAP,0.07135792341630336,32
ANTXR2,0.07059225269939907,33
NEDD4,0.06980190878660583,34
CCL3,0.06900300295576163,35
SLC17A8,0.06872914541687623,36
MT-ND5,0.06870452959542539,37
CA3,0.06845159316885385,38
RGS16,0.06824522559009664,39
CD180,0.06798074107525691,40
FGF10,0.06768369558785853,41
GRM8,0.06763090489942608,42
RGS20,0.06751400179703936,43
ADCY8,0.06746880434740274,44
LGR5,0.06661676080280673,45
SGCD,0.06640258125923605,46
RSPO3,0.06569424811429941,47
TACR3,0.06543656489208578,48
ACER2,0.06528904946415737,49
CD247,0.06501822976846579,50
VIPR2,0.06477523869741347,51
PLAT,0.06467222882982852,52
TFRC,0.06427072123743405,53
ALCAM,0.0638677581324079,54
ADGRV1,0.06359555963331857,55
COLEC12,0.06347426852611035,56
COL14A1,0.06333557736160293,57
S100A10,0.06299085811452713,58
TGFBR1,0.06295783024949843,59
NDST4,0.062899658406712,60
MCOLN3,0.06240438382616187,61
TPD52L1,0.06237441951639082,62
LIPC,0.06224770536407237,63
MED7,0.06124708507857645,64
BTNL9,0.060404970707739945,65
GALR1,0.06016767972236999,66
SLIT3,0.05927944523419398,67
ITGB8,0.05893041589561515,68
LPAR1,0.05842560852491406,69
PRKCQ,0.05815389026725592,70
RFC3,0.05792437595456279,71
COL12A1,0.05754685189001512,72
MAN1C1,0.05732918885651603,73
CPS1,0.057315499268442524,74
RNF144B,0.05724320994477975,75
PLPP3,0.05702855074609106,76
SLC6A20,0.05670936248268996,77
GNA14,0.05656528019504274,78
SLC30A8,0.056538384283322404,79
NOX4,0.05647345057598105,80
DPYS,0.05622648765035773,81
TGFBR3,0.05574949876926704,82
PMEPA1,0.055668872315802906,83
CDKN1C,0.05533866658825735,84
CHRM5,0.055283524490826894,85
EGLN3,0.05524208437275202,86
ITGA11,0.055025858150151714,87
FBN2,0.05489058777764718,88
MME,0.054558360891919074,89
CDC14A,0.05441875414060997,90
HS3ST3B1,0.05429546589203193,91
GLDC,0.05427499404960954,92
RASGRF2,0.054213357859233285,93
ABCA6,0.053836208065250336,94
P4HA1,0.05360363564337958,95
ADAMTS4,0.05310280824737663,96
PRLR,0.052955199699484284,97
ACVR1C,0.05236136603595521,98
PPP1R15A,0.052356279156963434,99
MT-CO3,0.05220638232977408,100
ADAMTS2,0.052187451902382505,101
FBXL7,0.05217993199249829,102
NHS,0.05198586986522347,103
GEM,0.051707304866575064,104
COL8A1,0.051398160747323555,105
AGBL1,0.051287475692233214,106
MEPE,0.051190841729430545,107
SYNE2,0.051038108777401336,108
ANOS1,0.05100492219227131,109
PRSS23,0.050834869289630186,110
MSMO1,0.05079487460071185,111
COL4A1,0.05055695842515764,112
CP,0.0504577718082969,113
MAOB,0.049824737595127906,114
GHR,0.049823840634983074,115
RDH10,0.04932073762366674,116
ATP8B4,0.04931409823984039,117
CR1,0.049067401077332054,118
RAD51B,0.04878358837605893,119
KIRREL1,0.04876450013739381,120
CDH19,0.048630853493021514,121
VEGFC,0.04851988166132364,122
TGFBR2,0.04847113574532831,123
PDK4,0.04842487422397926,124
TRPC3,0.04813815057464661,125
CD36,0.04782224760107898,126
CCL4,0.04779427385895631,127
SRGN,0.04770931666779689,128
PHACTR2,0.047653428300644396,129
CHI3L1,0.04751883968400943,130
SLC13A4,0.04739871446971293,131
SAT1,0.04739518860225623,132
CA13,0.04648260321977352,133
CSGALNACT1,0.046373632202244774,134
ESR2,0.046341990663329606,135
PTPN20,0.046122296464081614,136
CYP39A1,0.046101399944470906,137
ST6GAL2,0.04593982285590292,138
PAPSS2,0.04588512470539787,139
TP63,0.04544352856337812,140
MT-CO2,0.04533752501398182,141
GREM2,0.04520582894076113,142
BAG3,0.045190382497334085,143
